Name	Birthdate	Sex	Profession	Lang
METİN KÜLÜNK	1960	M	ENGINEER	1
MUHAMMET BİLAL MACİT	1984	M	SPECIALIST	1
MEHMET MUŞ	1982	M	ECONOMIST	1
NUREDDİN NEBATİ	1964	M	SPECIALIST	2
MELDA ONUR	1964	W	JOURNALIST	3
UMUT ORAN	1962	M	ECONOMIST	2
KADİR GÖKMEN ÖĞÜT	1959	M	DENTIST	1
AHMET BAHA ÖĞÜTKEN	1961	M	ACCOUNTANT	1
SIRRI SÜREYYA ÖNDER	1962	M	ARTIST	0
ALİ ÖZGÜNDÜZ	1965	M	PROSECUTOR	2
İHSAN ÖZKES	1957	M	RELIGIOUS OFFICIAL	2
ŞAFAK PAVEY	1976	W	DIPLOMAT	7
İSMAİL SAFİ	1968	M	SPECIALIST	1
OKTAY SARAL	1967	M	ENGINEER	1
MÜSLİM SARI	1974	M	ECONOMIST	1
MİHRİMAH BELMA SATIR	1961	W	LAWYER	1
SEVİM SAVAŞER	1953	W	ACADEMICIAN	1
FATMA NUR SERTER	1948	W	ACADEMICIAN	1
MUSTAFA ŞENTOP	1968	M	ACADEMICIAN	2
HAKAN ŞÜKÜR	1971	M	BUSINESSMAN	1
BİHLUN TAMAYLIGİL	1966	W	ECONOMIST	2
MAHMUT TANAL	1961	M	LAWYER	1
MUSTAFA SEZGİN TANRIKULU	1963	M	LAWYER	2
GÜRSEL TEKİN	1964	M	BUSINESSMAN	1
BİNNAZ TOPRAK	1942	W	ACADEMICIAN	1
ERDOĞAN TOPRAK	1959	M	ADMINISTRATOR	1
DURMUŞ ALİ TORLAK	1962	M	BUSINESSMAN	1
FAİK TUNAY	1981	M	BUSINESSMAN	5
SEBAHAT TUNCEL	1975	W	TECHNICIAN	0
BÜLENT TURAN	1975	M	LAWYER	1
AHMET KUTALMIŞ TÜRKEŞ	1978	M	ECONOMIST	1
ABDULLAH LEVENT TÜZEL	1961	M	LAWYER	0
İSMET UÇMA	1955	M	THEOLOGIST	2
ŞİRİN ÜNAL	1954	M	PILOT	2
İBRAHİM YİĞİT	1947	M	ENGINEER	1
ERDAL AKSÜNGER	1968	M	BUSINESSMAN	1
ALİ AŞLIK	1964	M	LAWYER	2
BİRGÜL AYMAN GÜLER	1961	W	ACADEMICIAN	1
MUSTAFA ALİ BALBAY	1960	M	JOURNALIST	1
MUSA ÇAM	1953	M	WORKER	0
AYTUN ÇIRAY	1957	M	DOCTOR	1
HAMZA DAĞ	1980	M	LAWYER	2
İLKNUR DENİZLİ	1964	W	ENGINEER	1
ERTUĞRUL GÜNAY	1948	M	LAWYER	1
HÜLYA GÜVEN	1951	W	DOCTOR	1
İLHAN İŞBİLEN	1946	M	BUSINESSMAN	1
ERDAL KALKAN	1946	M	LAWYER	1
MUSTAFA MOROĞLU	1958	M	BUSINESSMAN	0
ŞÜKRAN GÜLDAL MUMCU	1951	W	BUSINESSWOMAN	1
OĞUZ OYAN 	1947	M	ACADEMICIAN	2
RIFAT SAİT	1966	M	JOURNALIST	2
MEHMET ALİ SUSAM	1956	M	CHEMIST	0
AYDIN ŞENGÜL	1968	M	CITY PLANNER	0
AHMET KENAN TANRIKULU	1958	M	ECONOMIST	1
MEHMET SAYIM TEKELİOĞLU	1950	M	ENGINEER	1
RAHMİ AŞKIN TÜRELİ	1963	M	ECONOMIST	1
RIZA MAHMUT TÜRMEN	1941	M	DIPLOMAT	2
NESRİN ULEMA	1971	M	PHARMACIST	1
OKTAY VURAL	1956	M	ECONOMIST	1
BİNALİ YILDIRIM	1955	M	ENGINEER	2
ALAATTİN YÜKSEL	1950	M	BUSINESSMAN	1
SEVDE BAYAZIT KAÇAR	1974	W	FILM PRODUCER	1
MESUT DEDEOĞLU	1960	M	BUSINESSMAN	1
SITKI GÜVENÇ	1961	M	DENTIST	1
DURDU ÖZBOLAT	1962	M	BUSINESSMAN	1
NEVZAT PAKDİL	1950	M	BUREAUCRAT	0
YILDIRIM MEHMET RAMAZANOĞLU	1956	M	DOCTOR	5
MEHMET SAĞLAM	1938	M	ACADEMICIAN	2
MAHİR ÜNAL	1966	M	ACADEMICIAN	2
OSMAN KAHVECİ	1950	M	ENGINEER	1
MEHMET ALİ ŞAHİN	1950	M	LAWYER	1
MEVLÜT AKGÜN	1966	M	LAWYER	0
LÜTFİ ELVAN	1962	M	ENGINEER	1
AHMET ARSLAN	1962	M	ENGINEER	1
MÜLKİYE BİRTANE	1964	W	TEACHER	4
YUNUS KILIÇ	1965	M	VET	1
EMİN ÇINAR	1967	M	BUSINESSMAN	2
MUSTAFA GÖKHAN GÜLŞEN	1970	M	PHARMACIST	1
HAKKI KÖYLÜ	1948	M	PROSECUTOR	0
MUSTAFA ELİTAŞ	1957	M	ECONOMIST	1
PELİN GÜNDEŞ BAKIR	1972	W	ACADEMICIAN	1
YUSUF HALAÇOĞLU	1949	M	ACADEMICIAN	2
YAŞAR KARAYEL	1950	M	ADMINISTRATOR	1
MEHMET ŞEVKİ KULKULOĞLU	1965	M	DOCTOR	1
AHMET ÖKSÜZKAYA	1960	M	ACCOUNTANT	1
İSMAİL TAMER	1956	M	DOCTOR	1
SADIK YAKUT	1956	M	JUDGE	0
TANER YILDIZ	1962	M	ENGINEER	1
BEŞİR ATALAY	1947	M	SOCIOLOGIST	1
RAMAZAN CAN	1970	M	LAWYER	1
OĞUZ KAĞAN KÖKSAL	1948	M	BUREAUCRAT	1
TURGUT DİBEK	1966	M	LAWYER	0
ŞENOL GÜRŞAN	1964	M	LAWYER	1
MUZAFFER ASLAN	1968	M	LAWYER	1
ABDULLAH ÇALIŞKAN	1974	M	SPECIALIST	1
AHMET SALİH DAL	1971	M	THEOLOGIST	2
FUAT KARAKUŞ	1973	M	DOCTOR	1
